DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T12:31:15.050Z,Thauan Lara,Finalização,2024,Gaúcho,MP | GLS | TOS | SOT | BCM,1 | 0 | 1 | 0 | 0
2026-09-15T12:31:15.107Z,Thauan Lara,Finalização,2023,Total do Ano,MP | GLS | TOS | SOT | BCM,19 | 0 | 13 | 3 | 0
2026-09-15T12:31:15.167Z,Thauan Lara,Finalização,2023,Brasileirão Betano,MP | GLS | TOS | SOT | BCM,10 | 0 | 5 | 1 | 0
2026-09-15T12:31:15.214Z,Thauan Lara,Finalização,2023,CONMEBOL Libertadores,MP | GLS | TOS | SOT | BCM,3 | 0 | 3 | 0 | 0
2026-09-15T12:31:15.270Z,Thauan Lara,Finalização,2023,Copa Betano do Brasil,MP | GLS | TOS | SOT | BCM,2 | 0 | 3 | 1 | 0
2026-09-15T12:31:15.302Z,Thauan Lara,Finalização,2023,Gaúcho,MP | GLS | TOS | SOT | BCM,4 | 0 | 2 | 1 | 0
2026-09-15T12:31:15.361Z,Thauan Lara,Finalização,2022,Total do Ano,MP | GLS | TOS | SOT | BCM,7 | 0 | 5 | 2 | 0
2026-09-15T12:31:15.417Z,Thauan Lara,Finalização,2022,Brasileirão Betano,MP | GLS | TOS | SOT | BCM,7 | 0 | 5 | 2 | 0
2026-09-15T12:31:16.215Z,Thauan Lara,Jogo coletivo,26/27,Total do Ano,MP | AST | KEYP | BCC | SDR,3 | 0 | 1 | 0 | 1
2026-09-15T12:31:16.270Z,Thauan Lara,Jogo coletivo,26/27,Liga Portugal 2,MP | AST | KEYP | BCC | SDR,3 | 0 | 1 | 0 | 1
2026-09-15T12:31:16.321Z,Thauan Lara,Jogo coletivo,25/26,Total do Ano,MP | AST | KEYP | BCC | SDR,21 | 3 | 36 | 6 | 11
2026-09-15T12:31:16.369Z,Thauan Lara,Jogo coletivo,25/26,Liga Portugal 2,MP | AST | KEYP | BCC | SDR,18 | 3 | 36 | 6 | 11
2026-09-15T12:31:16.428Z,Thauan Lara,Jogo coletivo,25/26,U23 Liga Next Gen,MP | AST | KEYP | BCC | SDR,3 | 0 | 0 | 0 | 0
2026-09-15T12:31:16.460Z,Thauan Lara,Jogo coletivo,24/25,Total do Ano,MP | AST | KEYP | BCC | SDR,18 | 2 | 17 | 2 | 15
2026-09-15T12:31:16.515Z,Thauan Lara,Jogo coletivo,24/25,Liga Portugal 2,MP | AST | KEYP | BCC | SDR,18 | 2 | 17 | 2 | 15
2026-09-15T12:31:16.569Z,Thauan Lara,Jogo coletivo,2024,Total do Ano,MP | AST | KEYP | BCC | SDR,2 | 0 | 0 | 0 | 4
2026-09-15T12:31:16.600Z,Thauan Lara,Jogo coletivo,2024,Copa do Nordeste,MP | AST | KEYP | BCC | SDR,1 | 0 | 0 | 0 | 3
2026-09-15T12:31:16.658Z,Thauan Lara,Jogo coletivo,2024,Gaúcho,MP | AST | KEYP | BCC | SDR,1 | 0 | 0 | 0 | 1
2026-09-15T12:31:16.716Z,Thauan Lara,Jogo coletivo,2023,Total do Ano,MP | AST | KEYP | BCC | SDR,19 | 0 | 11 | 1 | 20
2026-09-15T12:31:16.749Z,Thauan Lara,Jogo coletivo,2023,Brasileirão Betano,MP | AST | KEYP | BCC | SDR,10 | 0 | 5 | 0 | 11
2026-09-15T12:31:16.811Z,Thauan Lara,Jogo coletivo,2023,CONMEBOL Libertadores,MP | AST | KEYP | BCC | SDR,3 | 0 | 0 | 0 | 3
2026-09-15T12:31:16.901Z,Thauan Lara,Jogo coletivo,2023,Copa Betano do Brasil,MP | AST | KEYP | BCC | SDR,2 | 0 | 3 | 1 | 1
2026-09-15T12:31:16.950Z,Thauan Lara,Jogo coletivo,2023,Gaúcho,MP | AST | KEYP | BCC | SDR,4 | 0 | 3 | 0 | 5
2026-09-15T12:31:17.013Z,Thauan Lara,Jogo coletivo,2022,Total do Ano,MP | AST | KEYP | BCC | SDR,7 | 0 | 1 | 0 | 2
2026-09-15T12:31:17.044Z,Thauan Lara,Jogo coletivo,2022,Brasileirão Betano,MP | AST | KEYP | BCC | SDR,7 | 0 | 1 | 0 | 2
2026-09-15T12:31:17.887Z,Thauan Lara,Passe,26/27,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,3 | 3 | 100.0 | 1 | 100.0 | 1 | 33.3
2026-09-15T12:31:17.935Z,Thauan Lara,Passe,26/27,Liga Portugal 2,MP | APS | APS% | ALB | LBA% | ACR | CA%,3 | 3 | 100.0 | 1 | 100.0 | 1 | 33.3
2026-09-15T12:31:18.005Z,Thauan Lara,Passe,25/26,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,21 | 147 | 70.0 | 15 | 38.5 | 34 | 29.3
2026-09-15T12:31:18.057Z,Thauan Lara,Passe,25/26,Liga Portugal 2,MP | APS | APS% | ALB | LBA% | ACR | CA%,18 | 147 | 70.0 | 15 | 38.5 | 34 | 29.3
2026-09-15T12:31:18.120Z,Thauan Lara,Passe,25/26,U23 Liga Next Gen,MP | APS | APS% | ALB | LBA% | ACR | CA%,3 | - | - | - | - | - | -
2026-09-15T12:31:18.168Z,Thauan Lara,Passe,24/25,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,18 | 325 | 77.0 | 31 | 43.1 | 18 | 24.0
2026-09-15T12:31:18.227Z,Thauan Lara,Passe,24/25,Liga Portugal 2,MP | APS | APS% | ALB | LBA% | ACR | CA%,18 | 325 | 77.0 | 31 | 43.1 | 18 | 24.0
2026-09-15T12:31:18.261Z,Thauan Lara,Passe,2024,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,2 | 41 | 74.5 | 3 | 37.5 | 1 | 33.3
2026-09-15T12:31:18.313Z,Thauan Lara,Passe,2024,Copa do Nordeste,MP | APS | APS% | ALB | LBA% | ACR | CA%,1 | 13 | 68.4 | 2 | 50.0 | 0 | -
2026-09-15T12:31:18.388Z,Thauan Lara,Passe,2024,Gaúcho,MP | APS | APS% | ALB | LBA% | ACR | CA%,1 | 28 | 77.8 | 1 | 25.0 | 1 | 100.0
2026-09-15T12:31:18.444Z,Thauan Lara,Passe,2023,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,19 | 323 | 80.8 | 20 | 47.6 | 10 | 21.3
2026-09-15T12:31:18.505Z,Thauan Lara,Passe,2023,Brasileirão Betano,MP | APS | APS% | ALB | LBA% | ACR | CA%,10 | 142 | 79.8 | 6 | 40.0 | 5 | 23.8
2026-09-15T12:31:18.553Z,Thauan Lara,Passe,2023,CONMEBOL Libertadores,MP | APS | APS% | ALB | LBA% | ACR | CA%,3 | 65 | 74.7 | 5 | 35.7 | 2 | 18.2
2026-09-15T12:31:18.614Z,Thauan Lara,Passe,2023,Copa Betano do Brasil,MP | APS | APS% | ALB | LBA% | ACR | CA%,2 | 46 | 90.2 | 4 | 80.0 | 1 | 9.1
2026-09-15T12:31:18.669Z,Thauan Lara,Passe,2023,Gaúcho,MP | APS | APS% | ALB | LBA% | ACR | CA%,4 | 70 | 83.3 | 5 | 62.5 | 2 | 50.0
2026-09-15T12:31:18.724Z,Thauan Lara,Passe,2022,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,7 | 103 | 81.7 | 6 | 60.0 | 1 | 20.0
2026-09-15T12:31:18.773Z,Thauan Lara,Passe,2022,Brasileirão Betano,MP | APS | APS% | ALB | LBA% | ACR | CA%,7 | 103 | 81.7 | 6 | 60.0 | 1 | 20.0
2026-09-15T12:31:18.835Z,Thauan Lara,Passe,2021,Total do Ano,MP | APS | APS% | ALB | LBA% | ACR | CA%,1 | 9 | 90.0 | 1 | 100.0 | 1 | 100.0
2026-09-15T12:31:18.888Z,Thauan Lara,Passe,2021,Brasileirão Betano,MP | APS | APS% | ALB | LBA% | ACR | CA%,1 | 9 | 90.0 | 1 | 100.0 | 1 | 100.0
